aa,aa,,,
,aa,,,
aai,aa,:i,,
,aai,,,
aak,aa,:k,,
,aak,,,
aam,aa,:m,,
,aam,,,
aan,aa,:n,,
,aan,,,
aang,ah,:g,,
,aang,,,
aap,aa,:p,,
,aap,,,
aat,aa,:t,,
,aat,,,
aau,ah,:u,,
,aau,,,
ai,ae,:i,,
,ai,,,
ak,ae,:k,,
,ak,,,
am,ae,:m,,
,am,,,
ang,ae,:g,,
,ang,,,
ap,ae,:p,,
,ap,,,
au,ae,:u,,
,au,,,
baa,b,aa,,
,b,aa,,
baai,b,aa,:i,
,b,aai,,
baak,b,aa,:k,
,b,aak,,
baat,b,aa,:t,
,b,aat,,
baan,b,aa,:n,
,b,aan,,
baang,b,ah,:g,
,b,aang,,
baau,b,ah,:u,
,b,aau,,
bai,b,ae,:i,
,b,ai,,
bak,b,ae,:k,
,b,ak,,
bam,b,ae,:m,
,b,am,,
ban,b,ae,:n,
,b,an,,
bang,b,ae,:g,
,b,ang,,
bat,b,ae,:t,
,b,at,,
bau,b,ae,:u,
,b,au,,
be,b,eh,,
,b,e,,
bei,b,ih,:i,
,b,ei,,
bek,b,ea,:k,
,b,ek,,
beng,b,ea,:g,
,b,eng,,
bi,b,iy,,
,b,i,,
bik,b,ih,:k,
,b,ik,,
bin,b,iy,:n,
,b,in,,
bing,b,ih,:g,
,b,ing,,
bit,b,iy,:t,
,b,it,,
biu,b,iy,:u,
,b,iu,,
bo,b,oa,,
,b,o,,
bok,b,oa,:k,
,b,ok,,
bong,b,oa,:g,
,b,ong,,
bou,b,ox,:u,
,b,ou,,
bui,b,uw,:i,
,b,ui,,
buk,b,ox,:k,
,b,uk,,
bun,b,uw,:n,
,b,un,,
bung,b,ox,:g,
,b,ung,,
but,b,uw,:t,
,b,ut,,
caa,c,aa,,
,c,aa,,
caai,c,aa,:i,
,c,aai,,
caam,c,aa,:m,
,c,aam,,
caan,c,aa,:n,
,c,aan,,
caang,c,ah,:g,
,c,aang,,
caak,c,aa,:k,
,c,aak,,
caap,c,aa,:p,
,c,aap,,
caat,c,aa,:t,
,c,aat,,
caau,c,ah,:u,
,c,aau,,
cai,c,ae,:i,
,c,ai,,
cak,c,ae,:k,
,c,ak,,
cam,c,ae,:m,
,c,am,,
can,c,ae,:n,
,c,an,,
cang,c,ae,:g,
,c,ang,,
cap,c,ae,:p,
,c,ap,,
cat,c,ae,:t,
,c,at,,
cau,c,ae,:u,
,c,au,,
ce,c,eh,,
,c,e,,
cek,c,ea,:k,
,c,ek,,
ceng,c,ea,:g,
,c,eng,,
ceoi,c,eo,:i,
,c,eoi,,
ceon,c,eo,:n,
,c,eon,,
ceot,c,eo,:t,
,c,eot,,
ci,c,iy,,
,c,i,,
cik,c,ih,:k,
,c,ik,,
cim,c,iy,:m,
,c,im,,
cin,c,iy,:n,
,c,in,,
cing,c,ih,:g,
,c,ing,,
cip,c,iy,:p,
,c,ip,,
cit,c,iy,:t,
,c,it,,
ciu,c,iy,:u,
,c,iu,,
co,c,oa,,
,c,o,,
coek,c,oe,:k,
,c,oek,,
coeng,c,oe,:g,
,c,oeng,,
coi,c,oa,:i,
,c,oi,,
cok,c,oa,:k,
,c,ok,,
cong,c,oa,:g,
,c,ong,,
cou,c,ox,:u,
,c,ou,,
cuk,c,ox,:k,
,c,uk,,
cun,c,uw,:n,
,c,un,,
cung,c,ox,:g,
,c,ung,,
cyu,c,vw,,
,c,yu,,
cyun,c,vw,:n,
,c,yun,,
cyut,c,vw,:t,
,c,yut,,
daa,d,aa,,
,d,aa,,
daai,d,aa,:i,
,d,aai,,
daak,d,aa,:k,
,d,aak,,
daam,d,aa,:m,
,d,aam,,
daan,d,aa,:n,
,d,aan,,
daap,d,aa,:p,
,d,aap,,
daat,d,aa,:t,
,d,aat,,
dai,d,ae,:i,
,d,ai,,
dak,d,ae,:k,
,d,ak,,
dang,d,ae,:g,
,d,ang,,
dap,d,ae,:p,
,d,ap,,
dat,d,ae,:t,
,d,at,,
dau,d,ae,:u,
,d,au,,
de,d,eh,,
,d,e,,
dei,d,ih,:i,
,d,ei,,
dek,d,ea,:k,
,d,ek,,
deng,d,ea,:g,
,d,eng,,
deoi,d,eo,:i,
,d,eoi,,
deon,d,eo,:n,
,d,eon,,
deot,d,eo,:t,
,d,eot,,
deu,d,ea,:u,
,d,eu,,
di,d,iy,,
,d,i,,
dik,d,ih,:k,
,d,ik,,
dim,d,iy,:m,
,d,im,,
din,d,iy,:n,
,d,in,,
ding,d,ih,:g,
,d,ing,,
dip,d,iy,:p,
,d,ip,,
dit,d,iy,:t,
,d,it,,
diu,d,iy,:u,
,d,iu,,
do,d,oa,,
,d,o,,
doe,d,oe,,
,d,oe,,
doek,d,oe,:k,
,d,oek,,
doi,d,oa,:i,
,d,oi,,
dok,d,oa,:k,
,d,ok,,
dong,d,oa,:g,
,d,ong,,
dou,d,ox,:u,
,d,ou,,
duk,d,ox,:k,
,d,uk,,
dung,d,ox,:g,
,d,ung,,
dyun,d,vw,:n,
,d,yun,,
dyut,d,vw,:t,
,d,yut,,
e,eh,,,
,e,,,
ei,ih,:i,,
,ei,,,
faa,f,aa,,
,f,aa,,
faai,f,aa,:i,
,f,aai,,
faak,f,aa,:k,
,f,aak,,
faan,f,aa,:n,
,f,aan,,
faat,f,aa,:t,
,f,aat,,
fai,f,ae,:i,
,f,ai,,
fan,f,ae,:n,
,f,an,,
fang,f,ae,:g,
,f,ang,,
fat,f,ae,:t,
,f,at,,
fau,f,ae,:u,
,f,au,,
fe,f,eh,,
,f,e,,
fei,f,ih,:i,
,f,ei,,
fiu,f,iy,:u,
,f,iu,,
fo,f,oa,,
,f,o,,
fok,f,oa,:k,
,f,ok,,
fong,f,oa,:g,
,f,ong,,
fu,f,uw,,
,f,u,,
fui,f,uw,:i,
,f,ui,,
fuk,f,ox,:k,
,f,uk,,
fun,f,uw,:n,
,f,un,,
fung,f,ox,:g,
,f,ung,,
fut,f,uw,:t,
,f,ut,,
gaa,g,aa,,
,g,aa,,
gaai,g,aa,:i,
,g,aai,,
gaak,g,aa,:k,
,g,aak,,
gaam,g,aa,:m,
,g,aam,,
gaan,g,aa,:n,
,g,aan,,
gaang,g,ah,:g,
,g,aang,,
gaap,g,aa,:p,
,g,aap,,
gaat,g,aa,:t,
,g,aat,,
gaau,g,ah,:u,
,g,aau,,
gai,g,ae,:i,
,g,ai,,
gam,g,ae,:m,
,g,am,,
gan,g,ae,:n,
,g,an,,
gang,g,ae,:g,
,g,ang,,
gap,g,ae,:p,
,g,ap,,
gat,g,ae,:t,
,g,at,,
gau,g,ae,:u,
,g,au,,
ge,g,eh,,
,g,e,,
gei,g,ih,:i,
,g,ei,,
geng,g,ea,:g,
,g,eng,,
geoi,g,eo,:i,
,g,eoi,,
gep,g,ea,:p,
,g,ep,,
gik,g,ih,:k,
,g,ik,,
gim,g,iy,:m,
,g,im,,
gin,g,iy,:n,
,g,in,,
ging,g,ih,:g,
,g,ing,,
gip,g,iy,:p,
,g,ip,,
git,g,iy,:t,
,g,it,,
giu,g,iy,:u,
,g,iu,,
go,g,oa,,
,g,o,,
goe,g,oe,,
,g,oe,,
goek,g,oe,:k,
,g,oek,,
goeng,g,oe,:g,
,g,oeng,,
goi,g,oa,:i,
,g,oi,,
gok,g,oa,:k,
,g,ok,,
gon,g,oa,:n,
,g,on,,
gong,g,oa,:g,
,g,ong,,
got,g,oa,:t,
,g,ot,,
gou,g,ox,:u,
,g,ou,,
gu,g,uw,,
,g,u,,
gui,g,uw,:i,
,g,ui,,
guk,g,ox,:k,
,g,uk,,
gun,g,uw,:n,
,g,un,,
gung,g,ox,:g,
,g,ung,,
gwaa,g,w,aa,
,gw,aa,,
gwaai,g,w,aa,:i
,gw,aai,,
gwaak,g,w,aa,:k
,gw,aak,,
gwaan,g,w,aa,:n
,gw,aan,,
gwaang,g,w,ah,:g
,gw,aang,,
gwaat,g,w,aa,:t
,gw,aat,,
gwai,g,w,ae,:i
,gw,ai,,
gwan,g,w,ae,:n
,gw,an,,
gwang,g,w,ae,:g
,gw,ang,,
gwat,g,w,ae,:t
,gw,at,,
gwik,g,w,ih,:k
,gw,ik,,
gwing,g,w,ih,:g
,gw,ing,,
gwo,g,w,oa,
,gw,o,,
gwok,g,w,oa,:k
,gw,ok,,
gwong,g,w,oa,:g
,gw,ong,,
gyun,g,vw,:n,
,g,yun,,
gyut,g,vw,:t,
,g,yut,,
haa,h,aa,,
,h,aa,,
haai,h,aa,:i,
,h,aai,,
haak,h,aa,:k,
,h,aak,,
haam,h,aa,:m,
,h,aam,,
haan,h,aa,:n,
,h,aan,,
haang,h,ah,:g,
,h,aang,,
haap,h,aa,:p,
,h,aap,,
haau,h,ah,:u,
,h,aau,,
hai,h,ae,:i,
,h,ai,,
hak,h,ae,:k,
,h,ak,,
ham,h,ae,:m,
,h,am,,
han,h,ae,:n,
,h,an,,
hang,h,ae,:g,
,h,ang,,
hap,h,ae,:p,
,h,ap,,
hat,h,ae,:t,
,h,at,,
hau,h,ae,:u,
,h,au,,
hei,h,ih,:i,
,h,ei,,
hek,h,ea,:k,
,h,ek,,
heng,h,ea,:g,
,h,eng,,
heoi,h,eo,:i,
,h,eoi,,
hik,h,ih,:k,
,h,ik,,
him,h,iy,:m,
,h,im,,
hin,h,iy,:n,
,h,in,,
hing,h,ih,:g,
,h,ing,,
hip,h,iy,:p,
,h,ip,,
hit,h,iy,:t,
,h,it,,
hiu,h,iy,:u,
,h,iu,,
ho,h,oa,,
,h,o,,
hoe,h,oe,,
,h,oe,,
hoeng,h,oe,:g,
,h,oeng,,
hoi,h,oa,:i,
,h,oi,,
hok,h,oa,:k,
,h,ok,,
hon,h,oa,:n,
,h,on,,
hong,h,oa,:g,
,h,ong,,
hot,h,oa,:t,
,h,ot,,
hou,h,ox,:u,
,h,ou,,
huk,h,ox,:k,
,h,uk,,
hung,h,ox,:g,
,h,ung,,
hyun,h,vw,:n,
,h,yun,,
hyut,h,vw,:t,
,h,yut,,
jaa,y,aa,,
,j,aa,,
jaai,y,aa,:i,
,j,aai,,
jaak,y,aa,:k,
,j,aak,,
jai,y,ae,:i,
,j,ai,,
jam,y,ae,:m,
,j,am,,
jan,y,ae,:n,
,j,an,,
jap,y,ae,:p,
,j,ap,,
jat,y,ae,:t,
,j,at,,
jau,y,ae,:u,
,j,au,,
je,y,eh,,
,j,e,,
jeng,y,ea,:g,
,j,eng,,
jeoi,y,eo,:i,
,j,eoi,,
jeon,y,eo,:n,
,j,eon,,
ji,y,iy,,
,j,i,,
jik,y,ih,:k,
,j,ik,,
jim,y,iy,:m,
,j,im,,
jin,y,iy,:n,
,j,in,,
jing,y,ih,:g,
,j,ing,,
jip,y,iy,:p,
,j,ip,,
jit,y,iy,:t,
,j,it,,
jiu,y,iy,:u,
,j,iu,,
jo,y,oa,,
,j,o,,
joek,y,oe,:k,
,j,oek,,
joeng,y,oe,:g,
,j,oeng,,
jou,y,ox,:u,
,j,ou,,
juk,y,ox,:k,
,j,uk,,
jung,y,ox,:g,
,j,ung,,
jyu,yv,vw,,
,j,yu,,
jyun,yv,vw,:n,
,j,yun,,
jyut,yv,vw,:t,
,j,yut,,
kaa,kh,aa,,
,k,aa,,
kaai,kh,aa,:i,
,k,aai,,
kaat,kh,aa,:t,
,k,aat,,
kaau,kh,ah,:u,
,k,aau,,
kai,kh,ae,:i,
,k,ai,,
kam,kh,ae,:m,
,k,am,,
kan,kh,ae,:n,
,k,an,,
kang,kh,ae,:g,
,k,ang,,
kap,kh,ae,:p,
,k,ap,,
kat,kh,ae,:t,
,k,at,,
kau,kh,ae,:u,
,k,au,,
ke,kh,eh,,
,k,e,,
kei,kh,ih,:i,
,k,ei,,
kek,kh,ea,:k,
,k,ek,,
keoi,kh,eo,:i,
,k,eoi,,
kik,kh,ih,:k,
,k,ik,,
kim,kh,iy,:m,
,k,im,,
kin,kh,iy,:n,
,k,in,,
king,kh,ih,:g,
,k,ing,,
kit,kh,iy,:t,
,k,it,,
kiu,kh,iy,:u,
,k,iu,,
ko,kh,oa,,
,k,o,,
koe,kh,oe,,
,k,oe,,
koek,kh,oe,:k,
,k,oek,,
koeng,kh,oe,:g,
,k,oeng,,
koi,kh,oa,:i,
,k,oi,,
kok,kh,oa,:k,
,k,ok,,
kong,kh,oa,:g,
,k,ong,,
ku,kh,uw,,
,k,u,,
kui,kh,uw,:i,
,k,ui,,
kuk,kh,ox,:k,
,k,uk,,
kung,kh,ox,:g,
,k,ung,,
kut,kh,uw,:t,
,k,ut,,
kwaa,kh,w,aa,
,kw,aa,,
kwaai,kh,w,aa,:i
,kw,aai,,
kwaang,kh,w,ah,:g
,kw,aang,,
kwai,kh,w,ae,:i
,kw,ai,,
kwan,kh,w,ae,:n
,kw,an,,
kwik,kh,w,ih,:k
,kw,ik,,
kwok,kh,w,oa,:k
,kw,ok,,
kwong,kh,w,oa,:g
,kw,ong,,
kyun,kh,vw,:n,
,k,yun,,
kyut,kh,vw,:t,
,k,yut,,
laa,l,aa,,
,l,aa,,
laai,l,aa,:i,
,l,aai,,
laak,l,aa,:k,
,l,aak,,
laam,l,aa,:m,
,l,aam,,
laan,l,aa,:n,
,l,aan,,
laang,l,ah,:g,
,l,aang,,
laap,l,aa,:p,
,l,aap,,
laat,l,aa,:t,
,l,aat,,
laau,l,ah,:u,
,l,aau,,
lai,l,ae,:i,
,l,ai,,
lak,l,ae,:k,
,l,ak,,
lam,l,ae,:m,
,l,am,,
lang,l,ae,:g,
,l,ang,,
lap,l,ae,:p,
,l,ap,,
lat,l,ae,:t,
,l,at,,
lau,l,ae,:u,
,l,au,,
le,l,eh,,
,l,e,,
lei,l,ih,:i,
,l,ei,,
lek,l,ea,:k,
,l,ek,,
lem,l,ea,:m,
,l,em,,
leng,l,ea,:g,
,l,eng,,
leoi,l,eo,:i,
,l,eoi,,
leon,l,eo,:n,
,l,eon,,
leot,l,eo,:t,
,l,eot,,
li,l,iy,,
,l,i,,
lik,l,ih,:k,
,l,ik,,
lim,l,iy,:m,
,l,im,,
lin,l,iy,:n,
,l,in,,
ling,l,ih,:g,
,l,ing,,
lip,l,iy,:p,
,l,ip,,
lit,l,iy,:t,
,l,it,,
liu,l,iy,:u,
,l,iu,,
lo,l,oa,,
,l,o,,
loek,l,oe,:k,
,l,oek,,
loeng,l,oe,:g,
,l,oeng,,
loi,l,oa,:i,
,l,oi,,
lok,l,oa,:k,
,l,ok,,
long,l,oa,:g,
,l,ong,,
lou,l,ox,:u,
,l,ou,,
luk,l,ox,:k,
,l,uk,,
lung,l,ox,:g,
,l,ung,,
lyun,l,vw,:n,
,l,yun,,
lyut,l,vw,:t,
,l,yut,,
m,m,,,
,M,,,
maa,m,aa,,
,m,aa,,
maai,m,aa,:i,
,m,aai,,
maak,m,aa,:k,
,m,aak,,
maan,m,aa,:n,
,m,aan,,
maang,m,ah,:g,
,m,aang,,
maat,m,aa,:t,
,m,aat,,
maau,m,ah,:u,
,m,aau,,
mai,m,ae,:i,
,m,ai,,
mak,m,ae,:k,
,m,ak,,
mam,m,ae,:m,
,m,am,,
man,m,ae,:n,
,m,an,,
mang,m,ae,:g,
,m,ang,,
mat,m,ae,:t,
,m,at,,
mau,m,ae,:u,
,m,au,,
me,m,eh,,
,m,e,,
mei,m,ih,:i,
,m,ei,,
meng,m,ea,:g,
,m,eng,,
mi,m,iy,,
,m,i,,
mik,m,ih,:k,
,m,ik,,
min,m,iy,:n,
,m,in,,
ming,m,ih,:g,
,m,ing,,
mit,m,iy,:t,
,m,it,,
miu,m,iy,:u,
,m,iu,,
mo,m,oa,,
,m,o,,
mok,m,oa,:k,
,m,ok,,
mong,m,oa,:g,
,m,ong,,
mou,m,ox,:u,
,m,ou,,
mui,m,uw,:i,
,m,ui,,
muk,m,ox,:k,
,m,uk,,
mun,m,uw,:n,
,m,un,,
mung,m,ox,:g,
,m,ung,,
mut,m,uw,:t,
,m,ut,,
naa,n,aa,,
,n,aa,,
naai,n,aa,:i,
,n,aai,,
naam,n,aa,:m,
,n,aam,,
naan,n,aa,:n,
,n,aan,,
naap,n,aa,:p,
,n,aap,,
naat,n,aa,:t,
,n,aat,,
naau,n,ah,:u,
,n,aau,,
nai,n,ae,:i,
,n,ai,,
nak,n,ae,:k,
,n,ak,,
nam,n,ae,:m,
,n,am,,
nan,n,ae,:n,
,n,an,,
nang,n,ae,:g,
,n,ang,,
nap,n,ae,:p,
,n,ap,,
nat,n,ae,:t,
,n,at,,
nau,n,ae,:u,
,n,au,,
ne,n,eh,,
,n,e,,
nei,n,ih,:i,
,n,ei,,
neoi,n,eo,:i,
,n,eoi,,
neot,n,eo,:t,
,n,eot,,
ng,ng,,,
,NG,,,
ngaa,ng,aa,,
,ng,aa,,
ngaai,ng,aa,:i,
,ng,aai,,
ngaak,ng,aa,:k,
,ng,aak,,
ngaam,ng,aa,:m,
,ng,aam,,
ngaan,ng,aa,:n,
,ng,aan,,
ngaang,ng,ah,:g,
,ng,aang,,
ngaap,ng,aa,:p,
,ng,aap,,
ngaat,ng,aa,:t,
,ng,aat,,
ngaau,ng,ah,:u,
,ng,aau,,
ngai,ng,ae,:i,
,ng,ai,,
ngak,ng,ae,:k,
,ng,ak,,
ngam,ng,ae,:m,
,ng,am,,
ngan,ng,ae,:n,
,ng,an,,
ngang,ng,ae,:g,
,ng,ang,,
ngap,ng,ae,:p,
,ng,ap,,
ngat,ng,ae,:t,
,ng,at,,
ngau,ng,ae,:u,
,ng,au,,
ngit,ng,iy,:t,
,ng,it,,
ngo,ng,oa,,
,ng,o,,
ngoi,ng,oa,:i,
,ng,oi,,
ngok,ng,oa,:k,
,ng,ok,,
ngon,ng,oa,:n,
,ng,on,,
ngong,ng,oa,:g,
,ng,ong,,
ngou,ng,ox,:u,
,ng,ou,,
nguk,ng,ox,:k,
,ng,uk,,
ngung,ng,ox,:g,
,ng,ung,,
n,n,,,
,N,,,
ni,n,iy,,
,n,i,,
nik,n,ih,:k,
,n,ik,,
nim,n,iy,:m,
,n,im,,
nin,n,iy,:n,
,n,in,,
ning,n,ih,:g,
,n,ing,,
nip,n,iy,:p,
,n,ip,,
niu,n,iy,:u,
,n,iu,,
no,n,oa,,
,n,o,,
noeng,n,oe,:g,
,n,oeng,,
noi,n,oa,:i,
,n,oi,,
nok,n,oa,:k,
,n,ok,,
nong,n,oa,:g,
,n,ong,,
nou,n,ox,:u,
,n,ou,,
nuk,n,ox,:k,
,n,uk,,
nung,n,ox,:g,
,n,ung,,
nyun,n,vw,:n,
,n,yun,,
o,oa,,,
,o,,,
oi,oa,:i,,
,oi,,,
ok,oa,:k,,
,ok,,,
on,oa,:n,,
,on,,,
ong,oa,:g,,
,ong,,,
ou,ox,:u,,
,ou,,,
paa,ph,aa,,
,p,aa,,
paai,ph,aa,:i,
,p,aai,,
paak,ph,aa,:k,
,p,aak,,
paan,ph,aa,:n,
,p,aan,,
paang,ph,ah,:g,
,p,aang,,
paat,ph,aa,:t,
,p,aat,,
paau,ph,ah,:u,
,p,aau,,
pai,ph,ae,:i,
